TILE;UTM;GEOMETRY
30;19;Polygon ((368116.67893346643541008 5250281.52661589905619621, 378075.92152772308327258 5249511.91088236216455698, 377818.75033247395185754 5246183.1210743747651577, 377818.75033247395185754 5246183.1210743747651577, 377818.75033247395185754 5246183.1210743747651577, 377306.91306377446744591 5239553.16662147920578718, 367347.56119279429549351 5240321.67645666003227234, 368116.67893346643541008 5250281.52661589905619621))
31;19;Polygon ((353919.87161536887288094 5196011.24184766132384539, 363880.83506270416546613 5195247.64959681499749422, 363518.61234404798597097 5190520.76856809575110674, 363117.85658223321661353 5185287.18836010154336691, 353156.78123844019137323 5186049.66433476191014051, 353610.04121744481381029 5191968.4067014716565609, 353610.04121744481381029 5191968.4067014716565609, 353919.87161536887288094 5196011.24184766132384539))
32;19;Polygon ((354684.07725778431631625 5205972.70657804235816002, 364644.928933963063173 5205207.99994792696088552, 364282.17712532647419721 5200481.17152595147490501, 364282.17712532647419721 5200481.17152595147490501, 364282.17712532647419721 5200481.17152595147490501, 363880.83506270416546613 5195247.64959681499749422, 353919.87161536887288094 5196011.24184766132384539, 354373.79446460533654317 5201929.91718902438879013, 354373.79446460533654317 5201929.91718902438879013, 354684.07725778431631625 5205972.70657804235816002))
33;19;Polygon ((355449.39626678475178778 5215934.05865073390305042, 365410.13629862130619586 5215168.23954072315245867, 365046.8563007460325025 5210441.46366489678621292, 365046.8563007460325025 5210441.46366489678621292, 365046.8563007460325025 5210441.46366489678621292, 364644.928933963063173 5205207.99994792696088552, 354684.07725778431631625 5205972.70657804235816002, 355138.66184930433519185 5211891.31496804300695658, 355138.66184930433519185 5211891.31496804300695658, 355449.39626678475178778 5215934.05865073390305042))
34;19;Polygon ((356215.82674100931035355 5225895.29819208476692438, 366176.45525683392770588 5225128.36850400641560555, 365812.64797162916511297 5220401.64511301834136248, 365812.64797162916511297 5220401.64511301834136248, 365812.64797162916511297 5220401.64511301834136248, 365410.13629862130619586 5215168.23954072315245867, 355449.39626678475178778 5215934.05865073390305042, 355904.64147118083201349 5221852.6001642569899559, 356215.82674100931035355 5225895.29819208476692438))
35;19;Polygon ((343647.91633674444165081 5192731.65897963475435972, 353610.04121744481381029 5191968.4067014716565609, 353156.78123844019137323 5186049.66433476191014051, 352847.40400572883663699 5182006.78338117711246014, 342885.1652827097568661 5182768.91873669810593128, 343449.05908175522927195 5190135.68360823672264814, 343449.05908175522927195 5190135.68360823672264814, 343647.91633674444165081 5192731.65897963475435972))
36;19;Polygon ((344411.78330400225240737 5202694.28449239209294319, 354373.79446460533654317 5201929.91718902438879013, 353919.87161536887288094 5196011.24184766132384539, 353919.87161536887288094 5196011.24184766132384539, 353919.87161536887288094 5196011.24184766132384539, 353610.04121744481381029 5191968.4067014716565609, 343647.91633674444165081 5192731.65897963475435972, 344212.63545892620459199 5200098.33900451380759478, 344212.63545892620459199 5200098.33900451380759478, 344411.78330400225240737 5202694.28449239209294319))
37;19;Polygon ((345176.76428505801595747 5212656.79539672192186117, 355138.66184930433519185 5211891.31496804300695658, 354684.07725778431631625 5205972.70657804235816002, 354684.07725778431631625 5205972.70657804235816002, 354684.07725778431631625 5205972.70657804235816002, 354373.79446460533654317 5201929.91718902438879013, 344411.78330400225240737 5202694.28449239209294319, 344977.32634506456088275 5210060.87976049352437258, 345176.76428505801595747 5212656.79539672192186117))
38;19;Polygon ((345942.85737802769290283 5222619.19181590061634779, 355904.64147118083201349 5221852.6001642569899559, 355449.39626678475178778 5215934.05865073390305042, 355449.39626678475178778 5215934.05865073390305042, 355449.39626678475178778 5215934.05865073390305042, 355138.66184930433519185 5211891.31496804300695658, 345176.76428505801595747 5212656.79539672192186117, 345942.85737802769290283 5222619.19181590061634779))
39;19;Polygon ((331201.41737588460091501 5161006.74698292836546898, 341165.03597955498844385 5160247.02837168797850609, 340405.93660141661530361 5150283.91321591380983591, 330442.20187859411817044 5151042.50885021407157183, 330885.5489777650218457 5156862.9720093747600913, 331201.41737588460091501 5161006.74698292836546898))
40;19;Polygon ((331961.75484769057948142 5170970.86810817662626505, 341925.2574469851097092 5170210.0284108929336071, 341165.03597955498844385 5160247.02837168797850609, 331201.41737588460091501 5161006.74698292836546898, 331645.4200881376164034 5166827.14178026746958494, 331645.4200881376164034 5166827.14178026746958494, 331961.75484769057948142 5170970.86810817662626505))
41;19;Polygon ((332723.2124011114356108 5180934.8723402563482523, 342686.59911233524326235 5180172.91345030721276999, 341925.2574469851097092 5170210.0284108929336071, 331961.75484769057948142 5170970.86810817662626505, 332406.41206761950161308 5176791.19461027719080448, 332406.41206761950161308 5176791.19461027719080448, 332723.2124011114356108 5180934.8723402563482523))
42;19;Polygon ((333485.78814076859271154 5190898.75979500263929367, 343449.05908175522927195 5190135.68360823672264814, 342885.1652827097568661 5182768.91873669810593128, 342686.59911233524326235 5180172.91345030721276999, 332723.2124011114356108 5180934.8723402563482523, 333168.52302186196902767 5186755.13061459455639124, 333168.52302186196902767 5186755.13061459455639124, 333485.78814076859271154 5190898.75979500263929367))
43;19;Polygon ((334249.48016881564399227 5200862.53058978170156479, 344212.63545892620459199 5200098.33900451380759478, 343647.91633674444165081 5192731.65897963475435972, 343647.91633674444165081 5192731.65897963475435972, 343647.91633674444165081 5192731.65897963475435972, 343449.05908175522927195 5190135.68360823672264814, 333485.78814076859271154 5190898.75979500263929367, 333931.75105404370697215 5196718.94990995153784752, 333931.75105404370697215 5196718.94990995153784752, 334249.48016881564399227 5200862.53058978170156479))
44;19;Polygon ((335014.28658494260162115 5210826.18484348803758621, 344977.32634506456088275 5210060.87976049352437258, 344411.78330400225240737 5202694.28449239209294319, 344411.78330400225240737 5202694.28449239209294319, 344411.78330400225240737 5202694.28449239209294319, 344212.63545892620459199 5200098.33900451380759478, 334249.48016881564399227 5200862.53058978170156479, 334696.09426487935706973 5206682.6526146037504077, 335014.28658494260162115 5210826.18484348803758621))
45;19;Polygon ((321680.74839106929721311 5167587.63242680300027132, 331645.4200881376164034 5166827.14178026746958494, 331201.41737588460091501 5161006.74698292836546898, 331201.41737588460091501 5161006.74698292836546898, 331201.41737588460091501 5161006.74698292836546898, 330885.5489777650218457 5156862.9720093747600913, 320920.75933653092943132 5157622.34089687280356884, 321660.0600939029827714 5167316.55502647068351507, 321660.0600939029827714 5167316.55502647068351507, 321680.74839106929721311 5167587.63242680300027132))
46;19;Polygon ((322441.85820152430096641 5177552.80512197222560644, 332406.41206761950161308 5176791.19461027719080448, 331961.75484769057948142 5170970.86810817662626505, 331961.75484769057948142 5170970.86810817662626505, 331961.75484769057948142 5170970.86810817662626505, 331645.4200881376164034 5166827.14178026746958494, 321680.74839106929721311 5167587.63242680300027132, 322421.13944227853789926 5177281.7309527350589633, 322421.13944227853789926 5177281.7309527350589633, 322441.85820152430096641 5177552.80512197222560644))
47;19;Polygon ((323204.08687201305292547 5187517.85909509938210249, 333168.52302186196902767 5186755.13061459455639124, 332723.2124011114356108 5180934.8723402563482523, 332723.2124011114356108 5180934.8723402563482523, 332723.2124011114356108 5180934.8723402563482523, 332406.41206761950161308 5176791.19461027719080448, 322441.85820152430096641 5177552.80512197222560644, 323183.33770229341462255 5187246.78815387189388275, 323183.33770229341462255 5187246.78815387189388275, 323204.08687201305292547 5187517.85909509938210249))
48;19;Polygon ((323967.43250418186653405 5197482.79446044471114874, 333931.75105404370697215 5196718.94990995153784752, 333485.78814076859271154 5190898.75979500263929367, 333485.78814076859271154 5190898.75979500263929367, 333485.78814076859271154 5190898.75979500263929367, 333168.52302186196902767 5186755.13061459455639124, 323204.08687201305292547 5187517.85909509938210249, 323946.65297566028311849 5197211.72674409672617912, 323967.43250418186653405 5197482.79446044471114874))
49;19;Polygon ((324731.89319721248466522 5207447.61133380420506001, 334696.09426487935706973 5206682.6526146037504077, 334249.48016881564399227 5200862.53058978170156479, 334249.48016881564399227 5200862.53058978170156479, 334249.48016881564399227 5200862.53058978170156479, 333931.75105404370697215 5196718.94990995153784752, 323967.43250418186653405 5197482.79446044471114874, 324731.89319721248466522 5207447.61133380420506001))
50;19;Polygon ((311694.26438210491323844 5168077.13402167707681656, 321660.0600939029827714 5167316.55502647068351507, 320920.75933653092943132 5157622.34089687280356884, 320900.10155298101017252 5157351.26026239618659019, 310934.18600061920005828 5158110.71755822561681271, 311332.8405548661830835 5163339.8660014932975173, 311694.26438210491323844 5168077.13402167707681656))
51;19;Polygon ((312455.46346036915201694 5178043.42975197173655033, 322421.13944227853789926 5177281.7309527350589633, 321680.74839106929721311 5167587.63242680300027132, 321680.74839106929721311 5167587.63242680300027132, 321680.74839106929721311 5167587.63242680300027132, 321660.0600939029827714 5167316.55502647068351507, 311694.26438210491323844 5168077.13402167707681656, 312093.50717480364255607 5173306.21910558175295591, 312093.50717480364255607 5173306.21910558175295591, 312455.46346036915201694 5178043.42975197173655033))
52;19;Polygon ((313217.78133805823745206 5188009.60485931858420372, 323183.33770229341462255 5187246.78815387189388275, 322441.85820152430096641 5177552.80512197222560644, 322441.85820152430096641 5177552.80512197222560644, 322441.85820152430096641 5177552.80512197222560644, 322421.13944227853789926 5177281.7309527350589633, 312455.46346036915201694 5178043.42975197173655033, 312855.29349633405217901 5183272.4515341455116868, 313217.78133805823745206 5188009.60485931858420372))
53;19;Polygon ((313981.21611534751718864 5197975.65945546701550484, 323946.65297566028311849 5197211.72674409672617912, 323204.08687201305292547 5187517.85909509938210249, 323204.08687201305292547 5187517.85909509938210249, 323204.08687201305292547 5187517.85909509938210249, 323183.33770229341462255 5187246.78815387189388275, 313217.78133805823745206 5188009.60485931858420372, 313981.21611534751718864 5197975.65945546701550484))
54;19;Polygon ((302126.65459422476124018 5174067.5065466770902276, 312093.50717480364255607 5173306.21910558175295591, 311694.26438210491323844 5168077.13402167707681656, 311694.26438210491323844 5168077.13402167707681656, 311694.26438210491323844 5168077.13402167707681656, 311332.8405548661830835 5163339.8660014932975173, 301365.86629542027367279 5164100.03284682240337133, 301864.02570529247168452 5170628.34470171853899956, 301864.02570529247168452 5170628.34470171853899956, 302126.65459422476124018 5174067.5065466770902276))
55;19;Polygon ((302888.56248561124084517 5184034.85767282266169786, 312855.29349633405217901 5183272.4515341455116868, 312455.46346036915201694 5178043.42975197173655033, 312455.46346036915201694 5178043.42975197173655033, 312455.46346036915201694 5178043.42975197173655033, 312093.50717480364255607 5173306.21910558175295591, 302126.65459422476124018 5174067.5065466770902276, 302625.5475071988767013 5180595.73810849338769913, 302625.5475071988767013 5180595.73810849338769913, 302888.56248561124084517 5184034.85767282266169786))
56;19;Polygon ((291896.01090482948347926 5171389.36831803526729345, 301864.02570529247168452 5170628.34470171853899956, 301365.86629542027367279 5164100.03284682240337133, 301103.62415103730745614 5160660.82868413999676704, 291135.48573758453130722 5161420.73115677479654551, 291799.04144398221978918 5170119.15795759111642838, 291799.04144398221978918 5170119.15795759111642838, 291896.01090482948347926 5171389.36831803526729345))
57;19;Polygon ((292657.65621372422901914 5181357.88096960633993149, 302625.5475071988767013 5180595.73810849338769913, 302126.65459422476124018 5174067.5065466770902276, 302126.65459422476124018 5174067.5065466770902276, 302126.65459422476124018 5174067.5065466770902276, 301864.02570529247168452 5170628.34470171853899956, 291896.01090482948347926 5171389.36831803526729345, 292560.54412853001849726 5180087.6864685220643878, 292560.54412853001849726 5180087.6864685220643878, 292657.65621372422901914 5181357.88096960633993149))
58;19;Polygon ((293420.41976337425876409 5191326.26921703200787306, 303388.18765741516835988 5190563.00901247374713421, 302888.56248561124084517 5184034.85767282266169786, 302888.56248561124084517 5184034.85767282266169786, 302625.5475071988767013 5180595.73810849338769913, 292657.65621372422901914 5181357.88096960633993149, 293323.16529618593631312 5190056.09056177083402872, 293420.41976337425876409 5191326.26921703200787306))
59;19;Polygon ((281069.38268899265676737 5160910.38902943022549152, 291038.65914312016684562 5160150.50492363795638084, 290279.39912404748611152 5150181.72726286482065916, 280309.99704365280922502 5150940.48818934708833694, 280321.94767879991559312 5151097.50221929326653481, 281069.38268899265676737 5160910.38902943022549152))
60;19;Polygon ((281829.89051434665452689 5170880.16334505379199982, 291799.04144398221978918 5170119.15795759111642838, 291135.48573758453130722 5161420.73115677479654551, 291038.65914312016684562 5160150.50492363795638084, 281069.38268899265676737 5160910.38902943022549152, 281081.35101173492148519 5161067.40106600243598223, 281081.35101173492148519 5161067.40106600243598223, 281829.89051434665452689 5170880.16334505379199982))
61;19;Polygon ((282591.51862005470320582 5180849.81123753171414137, 292560.54412853001849726 5180087.6864685220643878, 291896.01090482948347926 5171389.36831803526729345, 291896.01090482948347926 5171389.36831803526729345, 291896.01090482948347926 5171389.36831803526729345, 291799.04144398221978918 5170119.15795759111642838, 281829.89051434665452689 5170880.16334505379199982, 281841.87649478612001985 5171037.17338983342051506, 281841.87649478612001985 5171037.17338983342051506, 282591.51862005470320582 5180849.81123753171414137))
62;19;Polygon ((283354.26510398369282484 5190819.33280973881483078, 293323.16529618593631312 5190056.09056177083402872, 292657.65621372422901914 5181357.88096960633993149, 292657.65621372422901914 5181357.88096960633993149, 292657.65621372422901914 5181357.88096960633993149, 292560.54412853001849726 5180087.6864685220643878, 282591.51862005470320582 5180849.81123753171414137, 282603.52222825447097421 5181006.81929212901741266, 283354.26510398369282484 5190819.33280973881483078))
63;19;Polygon ((271110.95438471966190264 5161827.42936838418245316, 281081.35101173492148519 5161067.40106600243598223, 281069.38268899265676737 5160910.38902943022549152, 281069.38268899265676737 5160910.38902943022549152, 281069.38268899265676737 5160910.38902943022549152, 280321.94767879991559312 5151097.50221929326653481, 270351.42352988512720913 5151856.40747201163321733, 271110.95438471966190264 5161827.42936838418245316))
64;19;Polygon ((271871.60729034780524671 5171798.32284263893961906, 281841.87649478612001985 5171037.17338983342051506, 281829.89051434665452689 5170880.16334505379199982, 281829.89051434665452689 5170880.16334505379199982, 281829.89051434665452689 5170880.16334505379199982, 281081.35101173492148519 5161067.40106600243598223, 271110.95438471966190264 5161827.42936838418245316, 271871.60729034780524671 5171798.32284263893961906))
65;19;Polygon ((272633.38034551055170596 5181769.08799363858997822, 282603.52222825447097421 5181006.81929212901741266, 282591.51862005470320582 5180849.81123753171414137, 282591.51862005470320582 5180849.81123753171414137, 282591.51862005470320582 5180849.81123753171414137, 281841.87649478612001985 5171037.17338983342051506, 271871.60729034780524671 5171798.32284263893961906, 272633.38034551055170596 5181769.08799363858997822))
66;18;Polygon ((720891.35958357388153672 5155855.13142181281000376, 730891.35958357388153672 5155855.13142181281000376, 730891.35958357388153672 5145855.13142181281000376, 720891.35958357388153672 5145855.13142181281000376, 720891.35958357388153672 5155855.13142181281000376))
67;18;Polygon ((720891.35958357388153672 5165855.13142181281000376, 730891.35958357388153672 5165855.13142181281000376, 730891.35958357388153672 5155855.13142181281000376, 720891.35958357388153672 5155855.13142181281000376, 720891.35958357388153672 5165855.13142181281000376))
68;18;Polygon ((720891.35958357388153672 5175855.13142181281000376, 730891.35958357388153672 5175855.13142181281000376, 730891.35958357388153672 5165855.13142181281000376, 720891.35958357388153672 5165855.13142181281000376, 720891.35958357388153672 5175855.13142181281000376))
69;18;Polygon ((710891.35958357388153672 5148088.58443834912031889, 720891.35958357388153672 5148088.58443834912031889, 720891.35958357388153672 5138088.58443834912031889, 710891.35958357388153672 5138088.58443834912031889, 710891.35958357388153672 5148088.58443834912031889))
70;18;Polygon ((710891.35958357388153672 5158088.58443834912031889, 720891.35958357388153672 5158088.58443834912031889, 720891.35958357388153672 5148088.58443834912031889, 710891.35958357388153672 5148088.58443834912031889, 710891.35958357388153672 5158088.58443834912031889))
71;18;Polygon ((710891.35958357388153672 5168088.58443834912031889, 720891.35958357388153672 5168088.58443834912031889, 720891.35958357388153672 5158088.58443834912031889, 710891.35958357388153672 5158088.58443834912031889, 710891.35958357388153672 5168088.58443834912031889))
72;18;Polygon ((710891.35958357388153672 5178088.58443834912031889, 720891.35958357388153672 5178088.58443834912031889, 720891.35958357388153672 5168088.58443834912031889, 710891.35958357388153672 5168088.58443834912031889, 710891.35958357388153672 5178088.58443834912031889))
